CustomerName,Age,Gender,Country,ProductCategory,SignupDate,PurchaseAmount,Email
Priya Rao,64,Female,Germany,Furniture,2024-08-14,86.76,priya.rao7@mail.com
Vikram Patel,18,Male,USA,Groceries,2022-08-07,95.62,vikram.patel730@mail.com
Ritu Verma,27,Male,UK,Furniture,2022-01-26,293.47,ritu.verma591@mail.com
Rohit Gupta,42,Male,USA,Furniture,2023-08-14,45.79,rohit.gupta224@mail.com
Manish Patel,28,Female,Germany,Groceries,2024-09-08,67.82,manish.patel403@mail.com
Rahul Reddy,69,Male,UK,Electronics,2024-09-23,91.81,rahul.reddy875@mail.com
Pooja Verma,44,Female,Germany,Sports,2023-01-23,125.685,pooja.verma540@mail.com
Priya Iyer,68,Female,UK,Clothing,2023-05-09,125.685,priya.iyer449@mail.com
Nikhil Iyer,27,Male,UK,Beauty,2024-03-03,123.15,nikhil.iyer841@mail.com
Neha Chauhan,58,Male,UK,Beauty,2022-04-03,318.73,neha.chauhan461@mail.com
Arjun Patel,28,Male,USA,Groceries,2023-08-01,137.95,arjun.patel991@mail.com
Rohit Sharma,37,Male,UK,Beauty,2024-04-11,274.8,rohit.sharma764@mail.com
Rahul Sharma,66,Male,USA,Sports,2024-09-12,63.6,rahul.sharma829@mail.com
Kavya Iyer,37,Male,UK,Beauty,2022-10-18,148.41,kavya.iyer881@mail.com
Kavya Rao,45,Female,India,Sports,2024-03-16,633.23,kavya.rao550@mail.com
Divya Verma,62,Female,UK,Clothing,2022-08-11,264.05,divya.verma584@mail.com
Karan Reddy,69,Female,USA,Clothing,2022-05-27,255.23,karan.reddy15@mail.com
Ritu Verma,19,Male,Germany,Electronics,2022-02-11,164.94,ritu.verma269@mail.com
Meera Rao,32,Female,UK,Groceries,2022-07-17,44.41,meera.rao792@mail.com
Suresh Verma,67,Female,USA,Groceries,2022-08-26,281.56,
Anjali Reddy,66,Male,India,Beauty,2023-02-17,58.46,anjali.reddy40@mail.com
Swati Gupta,56,Female,USA,Furniture,2024-07-13,36.95,
Kavya Gupta,43,Female,India,Furniture,2023-01-09,246.84,kavya.gupta584@mail.com
Swati Sharma,66,Female,USA,Furniture,2023-03-06,152.67,swati.sharma852@mail.com
Divya Verma,33,Male,USA,Clothing,2024-10-18,46.58,divya.verma729@mail.com
Anjali Rao,42,Male,India,Sports,2022-01-18,125.685,anjali.rao863@mail.com
Priya Reddy,42,Female,India,Electronics,2023-05-23,125.685,priya.reddy909@mail.com
Manish Rao,51,Female,UK,Groceries,2024-09-04,514.99,manish.rao803@mail.com
Manish Verma,28,Male,India,Beauty,2022-11-24,215.41,
Rahul Reddy,56,Female,India,Clothing,2023-10-07,269.2,rahul.reddy231@mail.com
Divya Verma,64,Female,USA,Electronics,2023-09-11,174.32,divya.verma50@mail.com
Priya Gupta,58,Male,UK,Beauty,2022-05-08,103.84,priya.gupta373@mail.com
Anjali Chauhan,52,Female,India,Furniture,2023-01-14,182.94,anjali.chauhan277@mail.com
Meera Sharma,31,Male,USA,Beauty,2024-04-15,40.9,meera.sharma951@mail.com
Meera Gupta,40,Male,India,Clothing,2023-08-27,82.16,meera.gupta894@mail.com
Sneha Nair,22,Female,USA,Furniture,2022-05-04,105.69,
Vikram Chauhan,66,Male,Germany,Beauty,2023-05-02,425.32,vikram.chauhan687@mail.com
Swati Verma,34,Male,India,Clothing,2023-03-24,32.26,swati.verma711@mail.com
Nikhil Rao,43,Female,UK,Beauty,2024-10-06,242.17,nikhil.rao587@mail.com
Deepak Patel,37,Male,UK,Furniture,2024-11-15,125.685,deepak.patel996@mail.com
Manish Chauhan,59,Female,UK,Beauty,2024-06-06,40.38,manish.chauhan851@mail.com
Kavya Reddy,39,Female,India,Clothing,2022-03-27,92.42,kavya.reddy88@mail.com
Sneha Chauhan,29,Male,USA,Clothing,2022-01-05,203.31,sneha.chauhan278@mail.com
Swati Iyer,23,Female,UK,Groceries,2023-05-05,125.685,swati.iyer396@mail.com
Aditya Rao,20,Male,Germany,Sports,2022-02-27,52.03,aditya.rao853@mail.com
Suresh Sharma,29,Female,UK,Furniture,2022-08-27,195.45,suresh.sharma743@mail.com
Meera Rao,52,Female,India,Beauty,2024-09-13,132.31,meera.rao847@mail.com
Karan Reddy,55,Female,India,Groceries,2022-04-13,40.46,karan.reddy336@mail.com
Swati Sharma,54,Female,India,Groceries,2024-09-04,199.68,swati.sharma332@mail.com
Rahul Verma,41,Male,UK,Furniture,2024-03-17,556.36,rahul.verma878@mail.com
Sneha Verma,20,Female,India,Furniture,2022-11-13,152.21,sneha.verma750@mail.com
Nikhil Reddy,35,Male,India,Clothing,2024-06-26,95.92,nikhil.reddy969@mail.com
Divya Verma,67,Male,USA,Furniture,2023-09-26,35.42,divya.verma167@mail.com
Pooja Reddy,19,Male,USA,Furniture,2024-06-18,586.98,pooja.reddy370@mail.com
Karan Nair,31,Female,USA,Clothing,2023-02-19,134.68,karan.nair159@mail.com
Rohit Iyer,58,Female,Germany,Beauty,2022-09-25,145.56,rohit.iyer469@mail.com
Anjali Chauhan,57,Female,USA,Electronics,2023-06-03,95.79,anjali.chauhan336@mail.com
Vikram Iyer,54,Male,UK,Furniture,2023-05-26,291.17,vikram.iyer556@mail.com
Deepak Sharma,19,Male,India,Electronics,2023-03-23,715.98,deepak.sharma667@mail.com
Deepak Reddy,59,Female,India,Groceries,2022-09-08,125.685,deepak.reddy690@mail.com
Kavya Reddy,59,Female,USA,Clothing,2023-04-11,51.46,kavya.reddy572@mail.com
Aditya Verma,34,Female,UK,Electronics,2024-08-26,146.81,aditya.verma885@mail.com
Deepak Verma,49,Female,India,Furniture,2024-10-19,84.11,deepak.verma429@mail.com
Manish Patel,63,Male,India,Clothing,2022-04-11,42.81,manish.patel906@mail.com
Sneha Patel,20,Female,UK,Groceries,2023-04-17,65.31,
Anjali Nair,29,Female,USA,Clothing,2022-10-27,251.51,anjali.nair528@mail.com
Vikram Gupta,42,Male,India,Furniture,2022-09-27,41.58,vikram.gupta347@mail.com
Rahul Das,62,Male,Germany,Beauty,2023-01-20,258.29,rahul.das736@mail.com
Nikhil Nair,38,Female,UK,Groceries,2022-04-07,113.73,nikhil.nair259@mail.com
Meera Iyer,22,Female,USA,Sports,2022-11-10,24.45,meera.iyer707@mail.com
Meera Chauhan,49,Female,Germany,Furniture,2024-01-23,47.86,meera.chauhan413@mail.com
Swati Chauhan,57,Female,Germany,Furniture,2024-02-21,284.68,swati.chauhan371@mail.com
Priya Verma,61,Male,India,Furniture,2024-02-14,99.92,priya.verma863@mail.com
Rohit Sharma,42,Male,USA,Sports,2024-08-18,1918.5177000007036,rohit.sharma944@mail.com
Ritu Sharma,56,Male,USA,Sports,2022-06-05,101.61,ritu.sharma742@mail.com
Deepak Chauhan,54,Female,UK,Groceries,2023-08-15,142.48,
Ritu Das,60,Female,India,Electronics,2024-11-02,43.15,ritu.das964@mail.com
Rahul Gupta,25,Female,India,Sports,2023-10-14,113.4,rahul.gupta248@mail.com
Swati Chauhan,42,Female,UK,Sports,2024-03-02,125.685,swati.chauhan426@mail.com
Priya Verma,44,Male,UK,Sports,2022-04-25,315.7,priya.verma820@mail.com
Sneha Sharma,56,Female,USA,Clothing,2022-11-20,156.27,sneha.sharma755@mail.com
Kavya Verma,32,Male,UK,Furniture,2023-06-16,55.42,kavya.verma746@mail.com
Arjun Reddy,29,Female,Germany,Beauty,2022-11-07,78.65,arjun.reddy911@mail.com
Sneha Das,61,Female,USA,Groceries,2023-08-20,322.65,sneha.das424@mail.com
Karan Sharma,66,Male,UK,Groceries,2022-08-11,203.87,karan.sharma836@mail.com
Pooja Sharma,53,Female,Germany,Clothing,2024-05-09,135.12,pooja.sharma256@mail.com
Pooja Chauhan,27,Male,Germany,Electronics,2022-08-08,149.27,pooja.chauhan934@mail.com
Manish Sharma,40,Female,UK,Electronics,2024-05-24,154.22,manish.sharma952@mail.com
Manish Gupta,38,Male,UK,Electronics,2024-09-03,196.73,
Vikram Das,31,Male,India,Beauty,2024-05-26,347.99,vikram.das481@mail.com
Anjali Das,29,Male,Germany,Beauty,2022-03-26,39.2,anjali.das929@mail.com
Suresh Reddy,59,Female,India,Furniture,2023-05-09,364.86,suresh.reddy679@mail.com
Kavya Sharma,31,Male,India,Furniture,2024-02-23,170.46,kavya.sharma242@mail.com
Arjun Sharma,62,Male,USA,Electronics,2024-08-19,21.83,arjun.sharma543@mail.com
Rohit Chauhan,61,Male,Germany,Sports,2024-08-08,273.48,rohit.chauhan699@mail.com
Anjali Gupta,18,Female,India,Sports,2024-06-26,225.47,anjali.gupta377@mail.com
Priya Verma,22,Male,UK,Furniture,2024-08-20,125.685,
Meera Chauhan,39,Female,UK,Furniture,2022-11-27,293.33,meera.chauhan250@mail.com
Sneha Iyer,61,Female,Germany,Sports,2023-05-27,154.77,sneha.iyer882@mail.com
Sneha Sharma,32,Female,UK,Beauty,2022-01-09,190.75,sneha.sharma255@mail.com
Ritu Reddy,29,Female,UK,Furniture,2022-07-11,101.13,ritu.reddy755@mail.com
Sneha Chauhan,62,Female,India,Groceries,2024-01-20,125.685,sneha.chauhan601@mail.com
Nikhil Verma,67,Male,UK,Groceries,2023-03-05,20.79,nikhil.verma322@mail.com
Priya Iyer,24,Female,USA,Electronics,2023-10-01,97.72,priya.iyer280@mail.com
Manish Patel,68,Male,USA,Groceries,2024-03-26,115.28,manish.patel339@mail.com
Divya Reddy,56,Male,India,Groceries,2023-10-09,238.29,divya.reddy524@mail.com
Rohit Patel,39,Male,Germany,Sports,2022-06-21,134.67,rohit.patel317@mail.com
Aditya Verma,41,Male,India,Beauty,2022-11-20,46.44,aditya.verma855@mail.com
Swati Reddy,18,Male,Germany,Groceries,2022-01-24,182.55,swati.reddy515@mail.com
Arjun Verma,43,Male,UK,Beauty,2024-03-03,48.74,arjun.verma76@mail.com
Rahul Das,42,Male,UK,Electronics,2023-10-23,466.82,rahul.das230@mail.com
Sneha Chauhan,52,Male,USA,Clothing,2024-12-02,198.75,sneha.chauhan331@mail.com
Neha Sharma,40,Male,USA,Furniture,2024-02-06,130.48,
Pooja Das,29,Female,UK,Sports,2022-07-17,222.01,
Arjun Nair,66,Male,India,Groceries,2023-08-03,307.42,
Swati Iyer,67,Male,UK,Clothing,2022-10-24,29.82,swati.iyer348@mail.com
Anjali Reddy,18,Male,Germany,Electronics,2023-04-27,147.77,anjali.reddy590@mail.com
Pooja Patel,42,Female,USA,Clothing,2023-02-22,41.19,pooja.patel287@mail.com
Kavya Iyer,36,Female,UK,Groceries,2024-12-09,367.34,kavya.iyer267@mail.com
Kavya Gupta,37,Female,UK,Furniture,2023-04-16,274.98,kavya.gupta308@mail.com
Sneha Rao,38,Female,Germany,Beauty,2022-09-19,60.68,sneha.rao699@mail.com
Sneha Gupta,20,Male,UK,Groceries,2024-05-03,48.04,sneha.gupta592@mail.com
Priya Nair,54,Male,UK,Clothing,2024-04-15,95.22,
Pooja Gupta,18,Male,USA,Clothing,2022-12-08,170.42,pooja.gupta771@mail.com
Karan Reddy,37,Female,USA,Sports,2024-02-04,47.3,karan.reddy930@mail.com
Rohit Rao,24,Male,USA,Electronics,2022-04-17,44.14,rohit.rao939@mail.com
Neha Reddy,42,Female,USA,Electronics,2024-08-16,125.685,neha.reddy874@mail.com
Nikhil Chauhan,57,Female,India,Furniture,2022-10-27,46.81,nikhil.chauhan824@mail.com
Meera Chauhan,42,Male,USA,Furniture,2023-06-10,418.93,meera.chauhan694@mail.com
Nikhil Verma,33,Male,USA,Electronics,2022-05-09,604.18,nikhil.verma268@mail.com
Vikram Patel,34,Female,UK,Beauty,2024-05-22,59.25,vikram.patel887@mail.com
Priya Reddy,21,Female,Germany,Sports,2022-08-27,177.32,priya.reddy293@mail.com
Karan Chauhan,49,Female,UK,Electronics,2024-01-12,191.02,karan.chauhan25@mail.com
Suresh Verma,50,Female,USA,Electronics,2024-05-23,39.65,suresh.verma954@mail.com
Manish Gupta,34,Male,USA,Groceries,2024-09-10,130.5,manish.gupta220@mail.com
Arjun Iyer,31,Female,Germany,Furniture,2024-09-01,68.18,arjun.iyer877@mail.com
Anjali Chauhan,56,Male,India,Electronics,2023-10-27,80.13,anjali.chauhan462@mail.com
Aditya Nair,55,Male,UK,Sports,2023-03-18,335.53,aditya.nair490@mail.com
Divya Verma,57,Female,India,Beauty,2023-09-25,185.1,divya.verma160@mail.com
Divya Nair,23,Male,Germany,Electronics,2023-06-07,50.97,divya.nair880@mail.com
Rahul Nair,40,Male,India,Furniture,2023-04-26,128.75,rahul.nair744@mail.com
Deepak Verma,49,Female,India,Furniture,2024-10-19,84.11,deepak.verma429@mail.com
Priya Chauhan,49,Male,India,Groceries,2023-05-07,80.12,priya.chauhan139@mail.com
Kavya Verma,58,Male,India,Clothing,2022-02-01,69.14,kavya.verma977@mail.com
Ritu Verma,47,Male,Germany,Beauty,2022-11-18,47.02,ritu.verma727@mail.com
Swati Reddy,34,Female,India,Groceries,2024-03-08,241.28,swati.reddy162@mail.com
Suresh Chauhan,52,Female,India,Furniture,2023-08-20,60.4,suresh.chauhan271@mail.com
Aditya Iyer,21,Male,UK,Groceries,2023-04-02,116.94,aditya.iyer943@mail.com
Meera Patel,36,Female,India,Electronics,2024-10-05,109.3,meera.patel239@mail.com
Swati Patel,42,Female,UK,Beauty,2022-11-07,125.685,swati.patel988@mail.com
Sneha Patel,58,Female,UK,Furniture,2023-11-04,97.66,sneha.patel862@mail.com
Arjun Gupta,54,Male,USA,Sports,2022-04-07,166.68,arjun.gupta748@mail.com
Divya Gupta,68,Female,UK,Beauty,2023-10-19,86.74,divya.gupta264@mail.com
Ritu Nair,40,Female,USA,Beauty,2024-10-10,58.94,ritu.nair295@mail.com
Rohit Sharma,54,Female,USA,Beauty,2022-03-03,142.03,rohit.sharma729@mail.com
Ritu Patel,36,Female,India,Clothing,2023-04-16,79.67,ritu.patel328@mail.com
Neha Gupta,64,Male,USA,Sports,2022-05-23,172.98,
Meera Das,45,Male,Germany,Clothing,2024-08-09,225.59,meera.das807@mail.com
Nikhil Reddy,37,Male,Germany,Electronics,2024-02-06,162.58,nikhil.reddy524@mail.com
Karan Das,33,Female,Germany,Beauty,2024-05-21,158.36,karan.das103@mail.com
Swati Verma,45,Female,USA,Sports,2023-08-23,226.43,swati.verma599@mail.com
Sneha Nair,63,Male,Germany,Sports,2023-02-18,109.25,sneha.nair948@mail.com
Priya Chauhan,39,Female,Germany,Groceries,2022-05-22,153.84,priya.chauhan406@mail.com
Sneha Patel,25,Female,USA,Clothing,2024-10-01,159.98,sneha.patel779@mail.com
Kavya Verma,23,Male,USA,Clothing,2023-08-09,120.83,kavya.verma813@mail.com
Anjali Gupta,18,Male,UK,Furniture,2022-07-25,241.92,anjali.gupta542@mail.com
Manish Rao,63,Female,India,Groceries,2023-01-23,23.41,manish.rao2@mail.com
Anjali Gupta,39,Male,India,Furniture,2024-08-26,307.0,anjali.gupta191@mail.com
Deepak Rao,39,Male,UK,Clothing,2022-10-03,125.685,deepak.rao889@mail.com
Manish Iyer,19,Male,Germany,Beauty,2023-11-15,69.27,manish.iyer470@mail.com
Swati Patel,61,Male,USA,Beauty,2023-08-21,163.82,swati.patel120@mail.com
Aditya Gupta,36,Male,Germany,Furniture,2023-10-03,58.34,aditya.gupta55@mail.com
Rahul Reddy,53,Female,USA,Electronics,2023-09-06,58.28,rahul.reddy212@mail.com
Rahul Sharma,53,Male,USA,Clothing,2024-04-02,22.31,rahul.sharma637@mail.com
Rohit Sharma,20,Female,USA,Furniture,2024-02-09,151.63,rohit.sharma974@mail.com
Deepak Reddy,61,Female,India,Furniture,2022-09-12,125.685,deepak.reddy888@mail.com
Priya Rao,18,Female,India,Electronics,2023-09-04,213.79,priya.rao567@mail.com
Suresh Iyer,19,Female,UK,Groceries,2022-01-01,84.76,suresh.iyer283@mail.com
Vikram Das,37,Female,USA,Electronics,2024-11-22,323.8,vikram.das393@mail.com
Arjun Verma,42,Male,UK,Electronics,2024-11-17,96.59,arjun.verma868@mail.com
Rohit Gupta,42,Male,Germany,Sports,2024-03-16,57.32,rohit.gupta469@mail.com
Suresh Nair,65,Male,UK,Beauty,2022-09-11,199.34,suresh.nair560@mail.com
Aditya Das,21,Male,USA,Furniture,2024-06-21,36.04,aditya.das119@mail.com
Rahul Reddy,69,Male,UK,Electronics,2024-09-23,91.81,rahul.reddy875@mail.com
Divya Nair,28,Female,India,Furniture,2023-09-25,407.93,divya.nair627@mail.com
Deepak Reddy,25,Male,UK,Furniture,2023-03-20,60.11,
Suresh Nair,51,Female,India,Sports,2022-10-01,42.79,suresh.nair943@mail.com
Karan Chauhan,19,Male,USA,Furniture,2023-06-24,50.1,karan.chauhan829@mail.com
Divya Sharma,23,Male,UK,Groceries,2023-07-19,104.91,divya.sharma103@mail.com
Neha Gupta,23,Female,Germany,Clothing,2024-06-14,341.09,neha.gupta672@mail.com
Rahul Reddy,42,Male,Germany,Clothing,2024-01-26,58.18,
Anjali Sharma,36,Male,Germany,Electronics,2023-03-17,198.32,anjali.sharma617@mail.com
Vikram Sharma,51,Male,UK,Sports,2022-05-15,253.25,
Rahul Das,53,Female,Germany,Groceries,2022-07-22,80.55,rahul.das606@mail.com
Karan Chauhan,43,Female,USA,Furniture,2024-10-03,359.16,karan.chauhan449@mail.com
Nikhil Patel,32,Male,Germany,Beauty,2023-11-20,56.03,nikhil.patel663@mail.com
Priya Nair,42,Female,UK,Furniture,2023-11-06,157.64,priya.nair260@mail.com
Sneha Verma,43,Male,USA,Groceries,2022-09-16,61.53,sneha.verma735@mail.com
Deepak Iyer,55,Female,Germany,Furniture,2023-02-07,118.33,deepak.iyer981@mail.com
Rahul Iyer,66,Male,UK,Furniture,2023-04-26,198.76,rahul.iyer219@mail.com
Anjali Reddy,18,Male,India,Groceries,2024-03-27,214.41,anjali.reddy301@mail.com
