CustomerName,Age,Gender,Country,ProductCategory,SignupDate,PurchaseAmount,Email
Divya Sharma,55.0,Female,india,Furniture,07/02/2024,255.6,divya.sharma465@mail.com
Nikhil Verma,36.0,male,usa,Beauty,2022-01-20,133.2,nikhil.verma68@mail.com
Arjun Patel,30.0,male,USA,Groceries,21-02-2024,26.71,arjun.patel526@mail.com
Meera Iyer,54.0,M,uk,Clothing,16/11/2022,107.06,meera.iyer825@mail.com
Nikhil Das,,female,U.K.,Electronics,06/07/2024,454.33,
Kavya Sharma,42.0,F,USA,Sports,2022-09-03,70.09,kavya.sharma683@mail.com
Nikhil Gupta,,MALE,india,Groceries,02-08-2023,33.8,nikhil.gupta321@mail.com
  POOJA DAS  ,69.0,F,INDIA,Sports,08-04-2023,120.0,pooja.das229@mail.com
Kavya Reddy,39.0,MALE,INDIA,Beauty,08/01/2024,155.72,kavya.reddy318@mail.com
Manish Patel,26.0,Male,INDIA,Beauty,26-02-2022,83.33,manish.patel36@mail.com
Ritu Verma,64.0,M,INDIA,Sports,14-03-2022,$211.87,ritu.verma970@mail.com
Rahul Reddy,,Female,U.S.A,Groceries,02-20-2023,,rahul.reddy915@mail.com
  KAVYA NAIR  ,55.0,MALE,INDIA,Clothing,01-08-2024,$95.76,kavya.nair580@mail.com
  SURESH NAIR  ,23.0,MALE,india,Furniture,2024-11-15,147.25,suresh.nair167@mail.com
Meera Nair,35.0,Female,usa,Clothing,25/01/2024,214.25,meera.nair523@mail.com
Swati Das,44.0,F,uk,Groceries,2024-09-05,132.43,swati.das861@mail.com
Anjali Rao,,female,UK,Beauty,24/02/2024,711.59,anjali.rao312@mail.com
Karan Verma,50.0,Male,germany,Furniture,13/04/2023,$95.86,karan.verma247@mail.com
Vikram Verma,69.0,Male,India,Clothing,2024-05-20,346.96,vikram.verma203@mail.com
Rohit Gupta,68.0,,india,Clothing,2023-02-12,210.52,
Priya Das,50.0,Female,USA,Furniture,11-16-2024,171.73,priya.das313@mail.com
Anjali Rao,55.0,MALE,india,Beauty,07-20-2023,75.21,anjali.rao818@mail.com
Swati Iyer,,,germany,Furniture,2024-03-01,181.33,swati.iyer143@mail.com
Neha Sharma,59.0,male,U.S.A,Furniture,20-01-2023,356.5,neha.sharma498@mail.com
Rohit Chauhan,22.0,,germany,Groceries,03/09/2023,136.74,rohit.chauhan228@mail.com
Karan Sharma,19.0,F,uk,Groceries,2023-02-23,,karan.sharma332@mail.com
Divya Das,23.0,female,india,Furniture,15/02/2024,516.13,divya.das515@mail.com
Suresh Nair,31.0,male,germany,Clothing,27-08-2024,207.42,suresh.nair26@mail.com
Rohit Sharma,25.0,Female,Germany,Electronics,11/01/2022,31.28,rohit.sharma434@mail.com
Sneha Nair,36.0,M,INDIA,Electronics,02-04-2023,382.24,sneha.nair940@mail.com
Suresh Chauhan,28.0,FEMALE,USA,Clothing,02-13-2022,224.01,suresh.chauhan50@mail.com
Priya Iyer,49.0,male,India,Groceries,07/11/2024,$46.37,priya.iyer527@mail.com
Rohit Nair,39.0,Male,usa,Groceries,,35.4,rohit.nair288@mail.com
Pooja Das,-5.0,male,UK,Groceries,23-01-2023,77.62,pooja.das725@mail.com
Arjun Patel,55.0,,usa,Electronics,06-08-2024,,arjun.patel865@mail.com
Karan Rao,30.0,MALE,Germany,Sports,13/02/2024,30.89,karan.rao510@mail.com
Deepak Sharma,,M,germany,Furniture,09-10-2024,31.85,deepak.sharma381@mail.com
Rohit Patel,20.0,MALE,UK,Electronics,21-10-2023,117.85,
Pooja Reddy,60.0,Male,india,Sports,17-11-2022,45.2,
Rohit Rao,31.0,Female,UK,Beauty,26/04/2022,334.58,rohit.rao624@mail.com
Sneha Nair,46.0,female,usa,Clothing,2022-03-14,150.12,sneha.nair750@mail.com
Sneha Reddy,38.0,,uk,Sports,2024-11-23,360.54,sneha.reddy457@mail.com
Ritu Chauhan,24.0,MALE,UK,Beauty,09/03/2023,102.17,ritu.chauhan129@mail.com
Anjali Sharma,68.0,Female,U.K.,Furniture,2022-08-22,123.48,anjali.sharma373@mail.com
Divya Reddy,23.0,FEMALE,germany,Clothing,04-13-2023,136.69,divya.reddy451@mail.com
Kavya Iyer,37.0,Male,germany,Electronics,06-03-2022,107.59,kavya.iyer315@mail.com
Aditya Verma,52.0,female,USA,Furniture,2022-01-09,125.56,aditya.verma314@mail.com
Divya Reddy,66.0,Male,U.S.A,Clothing,07-11-2023,36.49,divya.reddy173@mail.com
Priya Nair,26.0,female,india,Sports,10/04/2022,20.7,priya.nair630@mail.com
Swati Nair,50.0,Male,india,Groceries,2022-01-15,59.24,swati.nair595@mail.com
Arjun Das,28.0,Male,Germany,Electronics,2023-07-19,164.06,arjun.das647@mail.com
Nikhil Das,57.0,Female,uk,Furniture,2024-09-01,205.12,nikhil.das675@mail.com
Priya Rao,64.0,FEMALE,germany,Furniture,14/08/2024,86.76,priya.rao7@mail.com
Vikram Patel,-5.0,Male,USA,Groceries,07-08-2022,95.62,vikram.patel730@mail.com
Ritu Verma,27.0,male,UK,Furniture,26/01/2022,293.47,ritu.verma591@mail.com
Rohit Gupta,,MALE,usa,Furniture,08-14-2023,45.79,rohit.gupta224@mail.com
Manish Patel,28.0,F,Germany,Groceries,2024-08-09,67.82,manish.patel403@mail.com
Rahul Reddy,69.0,Male,,Electronics,2024-09-23,91.81,rahul.reddy875@mail.com
Pooja Verma,44.0,female,germany,Sports,23-01-2023,,pooja.verma540@mail.com
Priya Iyer,68.0,female,uk,Clothing,09-05-2023,,priya.iyer449@mail.com
Nikhil Iyer,27.0,MALE,U.K.,Beauty,03-03-2024,123.15,nikhil.iyer841@mail.com
Neha Chauhan,58.0,MALE,U.K.,Beauty,03/04/2022,318.73,neha.chauhan461@mail.com
Arjun Patel,28.0,MALE,usa,Groceries,01-08-2023,137.95,arjun.patel991@mail.com
  ROHIT SHARMA  ,37.0,M,UK,Beauty,11/04/2024,274.8,rohit.sharma764@mail.com
Rahul Sharma,66.0,male,USA,Sports,12-09-2024,63.6,rahul.sharma829@mail.com
Kavya Iyer,37.0,M,UK,Beauty,18-10-2022,148.41,kavya.iyer881@mail.com
Kavya Rao,45.0,female,India,Sports,16-03-2024,633.23,kavya.rao550@mail.com
Divya Verma,62.0 yrs,female,U.K.,Clothing,11-08-2022,264.05,divya.verma584@mail.com
Karan Reddy,69.0,Female,usa,Clothing,05-27-2022,255.23,karan.reddy15@mail.com
Ritu Verma,19.0,Male,Germany,Electronics,11/02/2022,164.94,ritu.verma269@mail.com
Meera Rao,32.0,Female,U.K.,Groceries,17-07-2022,44.41,meera.rao792@mail.com
Suresh Verma,67.0,FEMALE,U.S.A,Groceries,08-26-2022,281.56,
Anjali Reddy,66.0,MALE,INDIA,Beauty,17-02-2023,58.46,anjali.reddy40@mail.com
Swati Gupta,56.0,FEMALE,USA,Furniture,2024-07-13,36.95,
Kavya Gupta,43.0,F,India,Furniture,09/01/2023,246.84,kavya.gupta584@mail.com
Swati Sharma,66.0,FEMALE,USA,Furniture,06-03-2023,152.67,swati.sharma852@mail.com
Divya Verma,33.0,male,U.S.A,Clothing,18-10-2024,46.58,divya.verma729@mail.com
Anjali Rao,,M,INDIA,Sports,01-18-2022,,anjali.rao863@mail.com
Suresh Chauhan,38.0,MALE,uk,Sports,,241.67,suresh.chauhan587@mail.com
Priya Reddy,42.0,FEMALE,india,Electronics,2023-05-23,,priya.reddy909@mail.com
Manish Rao,51.0,Female,UK,Groceries,04/09/2024,514.99,manish.rao803@mail.com
Manish Verma,28.0,M,india,Beauty,24/11/2022,215.41,
Rahul Reddy,56.0,F,india,Clothing,07-10-2023,269.2,rahul.reddy231@mail.com
Divya Verma,64.0,F,U.S.A,Electronics,11/09/2023,174.32,divya.verma50@mail.com
Priya Gupta,58.0,Male,uk,Beauty,2022-08-05,103.84,priya.gupta373@mail.com
Anjali Chauhan,52.0,Female,INDIA,Furniture,14-01-2023,182.94,anjali.chauhan277@mail.com
Meera Sharma,31.0,Male,U.S.A,Beauty,15/04/2024,40.9,meera.sharma951@mail.com
Meera Gupta,40.0,MALE,INDIA,Clothing,2023-08-27,82.16,meera.gupta894@mail.com
Sneha Nair,22.0,Female,USA,Furniture,04-05-2022,105.69,
Vikram Chauhan,66.0,Male,Germany,Beauty,02-05-2023,425.32,vikram.chauhan687@mail.com
Swati Verma,34.0,M,INDIA,Clothing,24-03-2023,32.26,swati.verma711@mail.com
Nikhil Rao,43.0,FEMALE,uk,Beauty,06/10/2024,242.17,nikhil.rao587@mail.com
Deepak Patel,37.0,MALE,uk,Furniture,15/11/2024,,deepak.patel996@mail.com
Manish Chauhan,59.0,F,U.K.,Beauty,06-06-2024,40.38,manish.chauhan851@mail.com
Kavya Reddy,39.0,Female,India,Clothing,27/03/2022,92.42,kavya.reddy88@mail.com
Sneha Chauhan,29.0,Male,USA,Clothing,05-01-2022,203.31,sneha.chauhan278@mail.com
Swati Iyer,23.0,F,uk,Groceries,05/05/2023,,swati.iyer396@mail.com
Aditya Rao,20.0,Male,Germany,Sports,27-02-2022,52.03,aditya.rao853@mail.com
Suresh Sharma,29.0,female,UK,Furniture,27/08/2022,195.45,suresh.sharma743@mail.com
Meera Rao,52.0,Female,INDIA,Beauty,13-09-2024,132.31,meera.rao847@mail.com
Karan Reddy,55.0,Female,INDIA,Groceries,04-13-2022,40.46,karan.reddy336@mail.com
Swati Sharma,54.0,FEMALE,india,Groceries,04-09-2024,199.68,swati.sharma332@mail.com
Rahul Verma,41.0,MALE,uk,Furniture,03-17-2024,556.36,rahul.verma878@mail.com
Sneha Verma,20.0,F,INDIA,Furniture,2022-11-13,152.21,sneha.verma750@mail.com
Nikhil Reddy,35.0,MALE,india,Clothing,26/06/2024,95.92,nikhil.reddy969@mail.com
Divya Verma,67.0,MALE,U.S.A,Furniture,09-26-2023,35.42,divya.verma167@mail.com
Pooja Reddy,19.0,MALE,U.S.A,Furniture,18/06/2024,586.98,pooja.reddy370@mail.com
Karan Nair,31.0,FEMALE,USA,Clothing,2023-02-19,134.68,karan.nair159@mail.com
Rohit Iyer,58.0 yrs,FEMALE,Germany,Beauty,2022-09-25,145.56,rohit.iyer469@mail.com
Priya Das,50.0,Female,USA,Furniture,11-16-2024,171.73,priya.das313@mail.com
Anjali Chauhan,57.0,female,usa,Electronics,03/06/2023,95.79,anjali.chauhan336@mail.com
Vikram Iyer,54.0,male,UK,Furniture,05-26-2023,291.17,vikram.iyer556@mail.com
Deepak Sharma,19.0,Male,india,Electronics,03-23-2023,715.98,deepak.sharma667@mail.com
Deepak Reddy,59.0,FEMALE,India,Groceries,08-09-2022,,deepak.reddy690@mail.com
Kavya Reddy,59.0,FEMALE,USA,Clothing,11-04-2023,51.46,kavya.reddy572@mail.com
Aditya Verma,34.0,F,uk,Electronics,08-26-2024,146.81,aditya.verma885@mail.com
Deepak Verma,49.0,Female,India,Furniture,10-19-2024,84.11,deepak.verma429@mail.com
Manish Patel,63.0,MALE,india,Clothing,11-04-2022,42.81,manish.patel906@mail.com
Sneha Patel,20.0,FEMALE,U.K.,Groceries,17-04-2023,65.31,
Anjali Nair,29.0,F,USA,Clothing,27-10-2022,251.51,anjali.nair528@mail.com
  VIKRAM GUPTA  ,,M,india,Furniture,09-27-2022,41.58,vikram.gupta347@mail.com
Rahul Das,62.0,MALE,germany,Beauty,2023-01-20,258.29,rahul.das736@mail.com
Nikhil Nair,38.0,F,UK,Groceries,07-04-2022,113.73,nikhil.nair259@mail.com
Meera Iyer,22.0,female,U.S.A,Sports,2022-10-11,24.45,meera.iyer707@mail.com
Meera Chauhan,49.0,female,germany,Furniture,01-23-2024,47.86,meera.chauhan413@mail.com
Swati Chauhan,57.0,female,Germany,Furniture,21-02-2024,284.68,swati.chauhan371@mail.com
Priya Verma,61.0,Male,India,Furniture,2024-02-14,99.92,priya.verma863@mail.com
Rohit Sharma,42.0,M,U.S.A,Sports,08-18-2024,15000.0,rohit.sharma944@mail.com
  RITU SHARMA  ,56.0,MALE,usa,Sports,05-06-2022,101.61,ritu.sharma742@mail.com
Deepak Chauhan,54.0,F,UK,Groceries,2023-08-15,142.48,
Ritu Das,60.0,F,INDIA,Electronics,02-11-2024,43.15,ritu.das964@mail.com
Rahul Gupta,25.0,FEMALE,INDIA,Sports,10-14-2023,113.4,rahul.gupta248@mail.com
Swati Chauhan,42.0,FEMALE,UK,Sports,02-03-2024,,swati.chauhan426@mail.com
Priya Verma,44.0,Male,UK,Sports,04-25-2022,315.7,priya.verma820@mail.com
Sneha Sharma,56.0,female,USA,Clothing,2022-11-20,156.27,sneha.sharma755@mail.com
Kavya Verma,32.0 yrs,M,uk,Furniture,2023-06-16,55.42,kavya.verma746@mail.com
Arjun Reddy,29.0,FEMALE,germany,Beauty,07-11-2022,78.65,arjun.reddy911@mail.com
Sneha Das,61.0,F,USA,Groceries,08-20-2023,322.65,sneha.das424@mail.com
Karan Sharma,66.0,M,uk,Groceries,2022-11-08,203.87,karan.sharma836@mail.com
Pooja Sharma,53.0,female,germany,Clothing,2024-09-05,135.12,pooja.sharma256@mail.com
Pooja Chauhan,27.0,Male,germany,Electronics,08-08-2022,149.27,pooja.chauhan934@mail.com
Manish Sharma,40.0,F,U.K.,Electronics,24/05/2024,154.22,manish.sharma952@mail.com
Manish Gupta,38.0,MALE,UK,Electronics,2024-03-09,196.73,
Vikram Das,31.0,male,India,Beauty,05-26-2024,347.99,vikram.das481@mail.com
Anjali Das,29.0,M,Germany,Beauty,26/03/2022,39.2,anjali.das929@mail.com
Suresh Reddy,59.0,Female,india,Furniture,09/05/2023,364.86,suresh.reddy679@mail.com
Kavya Sharma,31.0,MALE,India,Furniture,02-23-2024,170.46,kavya.sharma242@mail.com
Arjun Sharma,62.0,MALE,U.S.A,Electronics,2024-08-19,21.83,arjun.sharma543@mail.com
Rohit Chauhan,61.0,Male,germany,Sports,08/08/2024,273.48,rohit.chauhan699@mail.com
Anjali Gupta,18.0,female,india,Sports,06-26-2024,225.47,anjali.gupta377@mail.com
Priya Verma,22.0,MALE,UK,Furniture,20-08-2024,,
Meera Chauhan,39.0,female,UK,Furniture,27-11-2022,293.33,meera.chauhan250@mail.com
Sneha Iyer,61.0,Female,Germany,Sports,05-27-2023,154.77,sneha.iyer882@mail.com
Sneha Sharma,32.0,female,UK,Beauty,09-01-2022,190.75,sneha.sharma255@mail.com
Ritu Reddy,29.0,female,UK,Furniture,11-07-2022,101.13,ritu.reddy755@mail.com
Sneha Chauhan,62.0,F,india,Groceries,20-01-2024,,sneha.chauhan601@mail.com
Nikhil Verma,67.0,M,uk,Groceries,05-03-2023,20.79,nikhil.verma322@mail.com
Priya Iyer,24.0,female,usa,Electronics,01-10-2023,97.72,priya.iyer280@mail.com
Manish Patel,68.0,MALE,USA,Groceries,2024-03-26,115.28,manish.patel339@mail.com
Divya Reddy,56.0,male,INDIA,Groceries,2023-09-10,238.29,divya.reddy524@mail.com
Rohit Patel,39.0,male,germany,Sports,21/06/2022,134.67,rohit.patel317@mail.com
Aditya Verma,41.0,male,INDIA,Beauty,20/11/2022,46.44,aditya.verma855@mail.com
Swati Reddy,-5.0,M,germany,Groceries,24/01/2022,182.55,swati.reddy515@mail.com
Arjun Verma,43.0,Male,U.K.,Beauty,03/03/2024,48.74,arjun.verma76@mail.com
  RAHUL DAS  ,,Male,uk,Electronics,10-23-2023,466.82,rahul.das230@mail.com
Sneha Chauhan,52.0,M,U.S.A,Clothing,2024-02-12,198.75,sneha.chauhan331@mail.com
Neha Sharma,40.0,MALE,usa,Furniture,06/02/2024,130.48,
Pooja Das,29.0,Female,U.K.,Sports,17-07-2022,222.01,
Arjun Nair,66.0,MALE,INDIA,Groceries,03/08/2023,307.42,
  SWATI IYER  ,67.0,MALE,U.K.,Clothing,24-10-2022,$29.82,swati.iyer348@mail.com
  ANJALI REDDY  ,-5.0,male,Germany,Electronics,04-27-2023,147.77,anjali.reddy590@mail.com
Pooja Patel,42.0,F,USA,Clothing,02-22-2023,41.19,pooja.patel287@mail.com
Kavya Iyer,36.0,female,UK,Groceries,09-12-2024,367.34,kavya.iyer267@mail.com
Kavya Gupta,37.0,F,UK,Furniture,2023-04-16,274.98,kavya.gupta308@mail.com
Sneha Rao,38.0,Female,Germany,Beauty,2022-09-19,60.68,sneha.rao699@mail.com
Sneha Gupta,20.0,male,uk,Groceries,03-05-2024,48.04,sneha.gupta592@mail.com
Priya Nair,54.0,male,,Clothing,04-15-2024,95.22,
  POOJA GUPTA  ,18.0,Male,USA,Clothing,08-12-2022,170.42,pooja.gupta771@mail.com
Karan Reddy,37.0,F,U.S.A,Sports,04/02/2024,47.3,karan.reddy930@mail.com
Rohit Rao,24.0,M,usa,Electronics,2022-04-17,44.14,rohit.rao939@mail.com
  NEHA REDDY  ,,FEMALE,USA,Electronics,2024-08-16,,neha.reddy874@mail.com
Nikhil Chauhan,57.0,Female,india,Furniture,27/10/2022,46.81,nikhil.chauhan824@mail.com
Meera Chauhan,42.0,M,USA,Furniture,10-06-2023,418.93,meera.chauhan694@mail.com
Nikhil Verma,33.0,Male,U.S.A,Electronics,09-05-2022,604.18,nikhil.verma268@mail.com
Vikram Patel,34.0,F,U.K.,Beauty,22/05/2024,59.25,vikram.patel887@mail.com
Priya Reddy,21.0,FEMALE,Germany,Sports,27-08-2022,177.32,priya.reddy293@mail.com
Karan Chauhan,49.0,Female,,Electronics,12-01-2024,191.02,karan.chauhan25@mail.com
Suresh Verma,50.0,F,USA,Electronics,05-23-2024,39.65,suresh.verma954@mail.com
Manish Gupta,34.0,male,U.S.A,Groceries,10-09-2024,130.5,manish.gupta220@mail.com
Arjun Iyer,31.0,Female,Germany,Furniture,2024-01-09,68.18,arjun.iyer877@mail.com
Anjali Chauhan,56.0,male,INDIA,Electronics,27-10-2023,80.13,anjali.chauhan462@mail.com
Aditya Nair,55.0,male,UK,Sports,2023-03-18,335.53,aditya.nair490@mail.com
Divya Verma,57.0,Female,INDIA,Beauty,25/09/2023,185.1,divya.verma160@mail.com
Divya Nair,23.0,M,Germany,Electronics,07-06-2023,50.97,divya.nair880@mail.com
Rahul Nair,40.0,M,India,Furniture,04-26-2023,128.75,rahul.nair744@mail.com
  DEEPAK VERMA  ,49.0,Female,India,Furniture,10-19-2024,84.11,deepak.verma429@mail.com
Manish Gupta,34.0,male,U.S.A,Groceries,10-09-2024,130.5,manish.gupta220@mail.com
Priya Chauhan,49.0 yrs,M,india,Groceries,07-05-2023,80.12,priya.chauhan139@mail.com
Kavya Verma,58.0,Male,INDIA,Clothing,01/02/2022,69.14,kavya.verma977@mail.com
Ritu Verma,47.0,Male,germany,Beauty,2022-11-18,47.02,ritu.verma727@mail.com
Swati Reddy,34.0,F,india,Groceries,08-03-2024,241.28,swati.reddy162@mail.com
Suresh Chauhan,52.0,F,india,Furniture,20/08/2023,60.4,suresh.chauhan271@mail.com
Aditya Iyer,21.0,Male,U.K.,Groceries,02-04-2023,$116.94,aditya.iyer943@mail.com
Meera Patel,36.0,FEMALE,India,Electronics,05/10/2024,109.3,meera.patel239@mail.com
  SWATI PATEL  ,,female,uk,Beauty,07-11-2022,,swati.patel988@mail.com
Sneha Patel,58.0,female,,Furniture,04-11-2023,97.66,sneha.patel862@mail.com
Arjun Gupta,54.0,male,U.S.A,Sports,07-04-2022,166.68,arjun.gupta748@mail.com
Divya Gupta,68.0,Female,U.K.,Beauty,10-19-2023,86.74,divya.gupta264@mail.com
Ritu Nair,40.0,FEMALE,usa,Beauty,10-10-2024,58.94,ritu.nair295@mail.com
Rohit Sharma,54.0,FEMALE,usa,Beauty,03/03/2022,142.03,rohit.sharma729@mail.com
Ritu Patel,36.0,F,india,Clothing,04-16-2023,79.67,ritu.patel328@mail.com
Neha Gupta,64.0,male,usa,Sports,23-05-2022,172.98,
Meera Das,45.0,male,germany,Clothing,09-08-2024,225.59,meera.das807@mail.com
Nikhil Reddy,37.0,MALE,Germany,Electronics,06/02/2024,162.58,nikhil.reddy524@mail.com
Karan Das,33.0,female,Germany,Beauty,05-21-2024,158.36,karan.das103@mail.com
Swati Verma,45.0,FEMALE,usa,Sports,08-23-2023,226.43,swati.verma599@mail.com
Sneha Nair,63.0,MALE,Germany,Sports,2023-02-18,109.25,sneha.nair948@mail.com
Priya Chauhan,39.0,FEMALE,germany,Groceries,22/05/2022,153.84,priya.chauhan406@mail.com
Sneha Patel,25.0,female,USA,Clothing,2024-01-10,159.98,sneha.patel779@mail.com
Kavya Verma,23.0,,U.S.A,Clothing,2023-09-08,120.83,kavya.verma813@mail.com
Anjali Gupta,18.0,male,UK,Furniture,25-07-2022,241.92,anjali.gupta542@mail.com
Suresh Sharma,29.0,female,UK,Furniture,27/08/2022,195.45,suresh.sharma743@mail.com
Manish Rao,63.0,Female,INDIA,Groceries,23-01-2023,23.41,manish.rao2@mail.com
Anjali Gupta,39.0,M,India,Furniture,26-08-2024,307.0,anjali.gupta191@mail.com
Deepak Rao,39.0,male,U.K.,Clothing,03/10/2022,,deepak.rao889@mail.com
Manish Iyer,19.0,Male,germany,Beauty,11-15-2023,69.27,manish.iyer470@mail.com
Swati Patel,61.0,M,usa,Beauty,21-08-2023,163.82,swati.patel120@mail.com
Aditya Gupta,36.0,M,Germany,Furniture,2023-03-10,58.34,aditya.gupta55@mail.com
Rahul Reddy,53.0,FEMALE,USA,Electronics,06/09/2023,58.28,rahul.reddy212@mail.com
Rahul Sharma,53.0,Male,USA,Clothing,02/04/2024,22.31,rahul.sharma637@mail.com
Rohit Sharma,20.0,F,USA,Furniture,09-02-2024,151.63,rohit.sharma974@mail.com
Deepak Reddy,61.0,FEMALE,india,Furniture,12/09/2022,,deepak.reddy888@mail.com
Priya Rao,-5.0,Female,INDIA,Electronics,04-09-2023,213.79,priya.rao567@mail.com
Suresh Iyer,19.0,Female,U.K.,Groceries,2022-01-01,84.76,suresh.iyer283@mail.com
Vikram Das,37.0,F,USA,Electronics,11-22-2024,323.8,vikram.das393@mail.com
Arjun Verma,42.0,male,UK,Electronics,11-17-2024,96.59,arjun.verma868@mail.com
